Name,Category,Ingredients
Spaghetti with Lobster, First Courses, "[['Spaghetti', '400g'], ['Lobster', '1kg'], ['Shallot', '50g'], ['Garlic', '2'], [""Extra Virgin Olive Oil"", '30g'], ['Parsley', '30g'], ['Tomato Puree', '750g'], ['White Wine', '60g'], ['Fine Salt', 'to taste'], ['Black Pepper', 'to taste']]"
Lasagna Bolognese,Main courses,"[['Remilled durum wheat semolina', '350g'], ['Flour', '150g'], ['Spinach', '250g'], ['Eggs', '2'], ['Egg yolks', '3'], ['Beef', '300g'], ['Pancetta', '150g'], ['Carrots', '50g'], ['Celery', '50g'], ['Golden onions', '50g'], ['Red wine', '100g'], ['Tomato sauce', '300g'], ['Vegetable broth', 'to taste'], ['Extra virgin olive oil', '1 tablespoon'], ['Fine salt', 'to taste'], ['Black pepper', 'to taste'], ['Butter', '70g'], ['Flour', '70g'], ['Whole milk', '1l'], ['Fine salt', 'to taste'], ['Nutmeg', 'to taste'], ['Butter', 'to taste'], ['Parmigiano Reggiano PDO', '270g']]"
Tiramisu,Desserts,"[['Mascarpone', '750g'], ['Eggs', '260g'], ['Ladyfingers', '250g'], ['Sugar', '120g'], ['Coffee', '300g'], ['Unsweetened cocoa powder', 'to taste']]"
Cookies,Desserts,"[['Flour', '195g'], ['Butter', '100g'], ['Baking soda', '1 pinch'], ['Eggs', '55g'], ['Brown sugar', '100g'], ['Sugar', '100g'], ['Dark chocolate chips', '200g'], ['Fine salt', '1 pinch']]"
Pancakes with Maple Syrup,Desserts,"[['Butter', '25g'], ['Flour', '125g'], ['Eggs', '2'], ['Whole milk', '200g'], ['Baking powder', '6g'], ['Sugar', '15g'], ['Maple syrup', 'to taste']]"
Mascarpone Cream,Desserts,"[['Mascarpone', '500g'], ['Sugar', '125g'], ['Egg yolks', '4'], ['Water', '50g'], ['Unsweetened cocoa powder', 'to taste']]"
Sweet and Savory Crepes (Basic Recipe),Desserts,"[['Eggs', '3'], ['Flour', '250g'], ['Whole milk', '500ml'], ['Butter', 'to taste']]"
Pizza Dough,Leavened,"[['Manitoba flour', '200g'], ['Flour', '300g'], ['Water', '300ml'], ['Fine salt', '10g'], ['Fresh yeast', '54g']]"
Spaghetti Carbonara,Main courses,"[['Spaghetti', '320g'], ['Guanciale', '150g'], ['Egg yolks', '6'], ['Pecorino Romano', '50g'], ['Black pepper', 'to taste']]"
Molten Chocolate Cake,Desserts,"[['70% dark chocolate', '110g'], ['Butter', '110g'], ['Eggs', '120g'], ['Sugar', '40g'], ['Flour', '25g'], ['Butter', 'to taste'], ['Flour', 'to taste'], ['Powdered sugar', 'to taste']]"
Pastry Cream,Desserts,"[['Whole milk', '500g'], ['Sugar', '130g'], ['Egg yolks', '125g'], ['Rice starch', '40g'], ['Vanilla pod', '2'], ['Lemon zest', '½']]"
Spaghetti with Clams,Main courses,"[['Spaghetti', '320g'], ['Clams', '1kg'], ['Garlic', '1'], ['Parsley', '1'], ['Extra virgin olive oil', 'to taste'], ['Black pepper', 'to taste'], ['Fine salt', 'to taste'], ['Coarse salt', 'to taste']]"
